Country;Year;Sigma;T0;Planting;Variety
N;2006;0.527653497;77.19030889;64;Bintje
N;2008;0.445549255;43.00777618;68;Bintje
N;2010;0.408738227;74.21043739;79;Bintje
N;2011;0.491592575;50.46664524;67;Bintje
N;2013;0.226127526;61.46946085;95;Bintje
N;2014;0.36563415;64.50354214;77;Bintje
N;2015;0.189182816;62.53056402;62;Bintje
U;2006;0.325734892;88.01094289;82;King Edward
U;2007;0.407338103;53.80619086;63;King Edward
U;2010;0.317803917;91.50829805;80;King Edward
U;2013;0.506393703;82.07020263;83;King Edward
G;2009;0.175405988;44.18634943;36;Maxilla
G;2010;0.578875578;72.56936667;30;Albatros
G;2011;0.276295993;54.34151515;34;Albatros
G;2014;0.355367387;64.30267753;31;Maxilla
